t,velL,velR,pwmL,pwmR
2980,4,0,255,0
2990,5,0,255,0
3000,5,0,255,0
3010,4,0,255,0
3020,4,0,255,0
3030,4,0,255,0
3040,3,0,255,0
3050,3,0,255,0
3060,4,0,255,0
3070,4,0,255,0
3080,3,0,255,0
3090,4,0,255,0
3100,4,0,255,0
3110,4,0,255,0
3120,4,0,255,0
3130,5,0,255,0
3140,4,0,255,0
3150,4,0,255,0
3160,4,0,255,0
3170,4,0,255,0
3180,3,0,255,0
3190,3,0,255,0
3200,3,0,255,0
3210,3,0,255,0
3220,4,0,255,0
3230,4,0,255,0
3240,4,0,255,0
3250,4,0,255,0
3260,4,0,255,0
3270,4,0,255,0
3280,4,0,255,0
3290,4,0,255,0
3300,4,0,255,0
3310,4,0,255,0
3320,4,0,255,0
3330,4,0,255,0
3340,4,0,255,0
3350,5,0,255,0
3360,4,0,255,0
3370,4,0,255,0
3380,4,0,255,0
3390,3,0,255,0
3400,3,0,255,0
3410,4,0,255,0
3420,4,0,255,0
3430,5,0,255,0
3440,5,0,255,0
3450,5,0,255,0
3460,5,0,255,0
3470,5,0,255,0
3480,4,0,255,0
3490,4,0,255,0
3500,4,0,255,0
3510,4,0,255,0
3520,4,0,255,0
3530,5,0,255,0
3540,5,0,255,0
3550,5,0,255,0
3560,5,0,255,0
3570,5,0,255,0
3580,4,0,255,0
3590,4,0,255,0
3600,4,0,255,0
3610,3,0,255,0
3620,3,0,255,0
3630,4,0,255,0
3640,4,0,255,0
3650,4,0,255,0
3660,5,0,255,0
3670,5,0,255,0
3680,4,0,255,0
3690,4,0,255,0
3700,4,0,255,0
3710,4,0,255,0
3720,4,0,255,0
3730,3,0,255,0
3740,3,0,255,0
3750,3,0,255,0
3760,3,0,255,0
3770,3,0,255,0
3780,3,0,255,0
3790,3,0,255,0
3800,3,0,255,0
3810,4,0,255,0
3820,4,0,255,0
3830,4,0,255,0
3840,4,0,255,0
3850,4,0,255,0
3860,3,0,255,0
3870,3,0,255,0
3880,3,0,255,0
3890,4,0,255,0
3900,4,0,255,0
3910,3,0,255,0
3920,3,0,255,0
3930,4,0,255,0
3940,5,0,255,0
3950,4,0,255,0
3960,4,0,255,0
3970,4,0,255,0
3980,3,0,255,0
3990,3,0,255,0
4000,3,0,255,0
4010,4,0,255,0
4020,4,0,255,0
4030,4,0,255,0
4040,4,0,255,0
4050,4,0,255,0
4060,3,0,255,0
4070,3,0,255,0
4080,3,0,255,0
4090,4,0,255,0
4100,4,0,255,0
4110,4,0,255,0
4120,5,0,255,0
4130,5,0,255,0
4140,4,0,255,0
4150,4,0,255,0
4160,4,0,255,0
4170,4,0,255,0
4180,4,0,255,0
4190,5,0,255,0
4200,5,0,255,0
4210,5,0,255,0
4220,5,0,255,0
4230,5,0,255,0
4240,5,0,255,0
4250,5,0,255,0
4260,4,0,255,0
4270,4,0,255,0
4280,4,0,255,0
4290,3,0,255,0
4300,4,0,255,0
4310,4,0,255,0
4320,4,0,255,0
4330,4,0,255,0
4340,5,0,255,0
4350,4,0,255,0
4360,4,0,255,0
4370,4,0,255,0
4380,4,0,255,0
4390,4,0,255,0
4400,4,0,255,0
4410,4,0,255,0
4420,4,0,255,0
4430,4,0,255,0
4440,4,0,255,0
4450,5,0,255,0
4460,5,0,255,0
4470,4,0,255,0
4480,4,0,255,0
4490,4,0,255,0
4500,3,0,255,0
4510,3,0,255,0
4520,3,0,255,0
4530,3,0,255,0
4540,3,0,255,0
4550,3,0,255,0
4560,4,0,255,0
4570,4,0,255,0
4580,5,0,255,0
4590,4,0,255,0
4600,5,0,255,0
4610,5,0,255,0
4620,5,0,255,0
4630,4,0,255,0
4640,4,0,255,0
4650,4,0,255,0
4660,4,0,255,0
4670,4,0,255,0
4680,3,0,255,0
4690,4,0,255,0
4700,4,0,255,0
4710,4,0,255,0
4720,5,0,255,0
4730,5,0,255,0
4740,4,0,255,0
4750,5,0,255,0
4760,5,0,255,0
4770,5,0,255,0
4780,5,0,255,0
4790,5,0,255,0
4800,4,0,255,0
4810,3,0,255,0
4820,3,0,255,0
4830,3,0,255,0
4840,3,0,255,0
4850,3,0,255,0
4860,4,0,255,0
4870,4,0,255,0
4880,4,0,255,0
4890,4,0,255,0
4900,4,0,255,0
4910,4,0,255,0
4920,4,0,255,0
4930,4,0,255,0
4940,4,0,255,0
4950,4,0,255,0
4960,4,0,255,0
4970,3,0,255,0
4980,3,0,255,0
4990,3,0,255,0
