t,velL,velR,pwmL,pwmR
2620,0,1,0,200
2630,0,1,0,200
2640,0,1,0,200
2650,0,1,0,200
2660,0,1,0,200
2670,0,1,0,200
2680,0,1,0,200
2690,0,1,0,200
2700,0,1,0,200
2710,0,1,0,200
2720,0,1,0,200
2730,0,0,0,200
2740,0,1,0,200
2750,0,0,0,200
2760,0,0,0,200
2770,0,0,0,200
2780,0,1,0,200
2790,0,0,0,200
2800,0,1,0,200
2810,0,1,0,200
2820,0,1,0,200
2830,0,1,0,200
2840,0,1,0,200
2850,0,1,0,200
2860,0,1,0,200
2870,0,1,0,200
2880,0,1,0,200
2890,0,2,0,200
2900,0,1,0,200
2910,0,1,0,200
2920,0,1,0,200
2930,0,1,0,200
2940,0,1,0,200
2950,0,1,0,200
2960,0,1,0,200
2970,0,1,0,200
2980,0,1,0,200
2990,0,2,0,200
3000,0,2,0,200
3010,0,1,0,200
3020,0,1,0,200
3030,0,1,0,200
3040,0,0,0,200
3050,0,0,0,200
3060,0,0,0,200
3070,0,1,0,200
3080,0,1,0,200
3090,0,1,0,200
3100,0,1,0,200
3110,0,1,0,200
3120,0,1,0,200
3130,0,1,0,200
3140,0,1,0,200
3150,0,1,0,200
3160,0,1,0,200
3170,0,1,0,200
3180,0,1,0,200
3190,0,1,0,200
3200,0,1,0,200
3210,0,1,0,200
3220,0,0,0,200
3230,0,1,0,200
3240,0,1,0,200
3250,0,1,0,200
3260,0,1,0,200
3270,0,1,0,200
3280,0,1,0,200
3290,0,1,0,200
3300,0,1,0,200
3310,0,1,0,200
3320,0,1,0,200
3330,0,0,0,200
3340,0,0,0,200
3350,0,0,0,200
3360,0,1,0,200
3370,0,1,0,200
3380,0,1,0,200
3390,0,1,0,200
3400,0,1,0,200
3410,0,1,0,200
3420,0,1,0,200
3430,0,1,0,200
3440,0,1,0,200
3450,0,1,0,200
3460,0,1,0,200
3470,0,1,0,200
3480,0,1,0,200
3490,0,1,0,200
3500,0,1,0,200
3510,0,1,0,200
3520,0,1,0,200
3530,0,1,0,200
3540,0,1,0,200
3550,0,1,0,200
3560,0,1,0,200
3570,0,1,0,200
3580,0,1,0,200
3590,0,1,0,200
3600,0,1,0,200
3610,0,1,0,200
3620,0,1,0,200
3630,0,1,0,200
3640,0,1,0,200
3650,0,1,0,200
3660,0,1,0,200
3670,0,1,0,200
3680,0,1,0,200
3690,0,1,0,200
3700,0,1,0,200
3710,0,1,0,200
3720,0,1,0,200
3730,0,0,0,200
3740,0,0,0,200
3750,0,1,0,200
3760,0,1,0,200
3770,0,1,0,200
3780,0,1,0,200
3790,0,1,0,200
3800,0,1,0,200
3810,0,1,0,200
3820,0,1,0,200
3830,0,1,0,200
3840,0,1,0,200
3850,0,1,0,200
3860,0,1,0,200
3870,0,1,0,200
3880,0,1,0,200
3890,0,1,0,200
3900,0,1,0,200
3910,0,1,0,200
3920,0,1,0,200
3930,0,1,0,200
3940,0,0,0,200
3950,0,1,0,200
3960,0,0,0,200
3970,0,0,0,200
3980,0,0,0,200
3990,0,1,0,200
4000,0,0,0,200
4010,0,1,0,200
4020,0,1,0,200
4030,0,1,0,200
4040,0,1,0,200
4050,0,1,0,200
4060,0,1,0,200
4070,0,1,0,200
4080,0,1,0,200
4090,0,1,0,200
4100,0,1,0,200
4110,0,1,0,200
4120,0,1,0,200
4130,0,1,0,200
4140,0,1,0,200
4150,0,1,0,200
4160,0,1,0,200
4170,0,1,0,200
4180,0,1,0,200
4190,0,1,0,200
4200,0,1,0,200
4210,0,1,0,200
4220,0,1,0,200
4230,0,1,0,200
4240,0,1,0,200
4250,0,1,0,200
4260,0,1,0,200
4270,0,1,0,200
4280,0,1,0,200
4290,0,1,0,200
4300,0,1,0,200
4310,0,1,0,200
4320,0,1,0,200
4330,0,1,0,200
4340,0,1,0,200
4350,0,0,0,200
4360,0,0,0,200
4370,0,0,0,200
4380,0,1,0,200
4390,0,1,0,200
4400,0,1,0,200
4410,0,1,0,200
4420,0,1,0,200
4430,0,1,0,200
4440,0,1,0,200
4450,0,1,0,200
4460,0,1,0,200
4470,0,1,0,200
4480,0,1,0,200
4490,0,1,0,200
4500,0,1,0,200
4510,0,1,0,200
4520,0,1,0,200
4530,0,1,0,200
4540,0,1,0,200
4550,0,1,0,200
4560,0,1,0,200
4570,0,1,0,200
4580,0,1,0,200
4590,0,1,0,200
4600,0,1,0,200
4610,0,1,0,200
4620,0,1,0,200
4630,0,1,0,200
4640,0,1,0,200
4650,0,1,0,200
4660,0,1,0,200
4670,0,1,0,200
4680,0,1,0,200
4690,0,1,0,200
4700,0,1,0,200
4710,0,1,0,200
4720,0,1,0,200
4730,0,1,0,200
4740,0,1,0,200
4750,0,1,0,200
4760,0,1,0,200
4770,0,1,0,200
4780,0,1,0,200
4790,0,1,0,200
4800,0,1,0,200
4810,0,1,0,200
4820,0,1,0,200
4830,0,1,0,200
4840,0,1,0,200
4850,0,1,0,200
4860,0,1,0,200
4870,0,1,0,200
4880,0,1,0,200
4890,0,1,0,200
4900,0,0,0,200
4910,0,0,0,200
4920,0,1,0,200
4930,0,0,0,200
4940,0,1,0,200
4950,0,1,0,200
4960,0,1,0,200
4970,0,1,0,200
4980,0,1,0,200
4990,0,1,0,200
5000,0,1,0,200
5010,0,1,0,200
5020,0,1,0,200
5030,0,1,0,200
5040,0,0,0,200
5050,0,0,0,200
5060,0,0,0,200
5070,0,1,0,200
5080,0,0,0,200
5090,0,1,0,200
5100,0,1,0,200
5110,0,1,0,200
5120,0,1,0,200
5130,0,1,0,200
5140,0,1,0,200
5150,0,0,0,200
5160,0,0,0,200
5170,0,0,0,200
5180,0,1,0,200
5190,0,1,0,200
5200,0,1,0,200
5210,0,1,0,200
5220,0,1,0,200
5230,0,1,0,200
5240,0,1,0,200
5250,0,1,0,200
5260,0,1,0,200
5270,0,1,0,200
5280,0,1,0,200
5290,0,1,0,200
5300,0,1,0,200
5310,0,1,0,200
5320,0,1,0,200
5330,0,1,0,200
5340,0,1,0,200
5350,0,1,0,200
5360,0,1,0,200
5370,0,1,0,200
5380,0,1,0,200
5390,0,1,0,200
5400,0,1,0,200
5410,0,1,0,200
5420,0,1,0,200
5430,0,1,0,200
5440,0,1,0,200
5450,0,1,0,200
5460,0,1,0,200
5470,0,1,0,200
5480,0,1,0,200
5490,0,1,0,200
5500,0,1,0,200
5510,0,1,0,200
5520,0,1,0,200
5530,0,1,0,200
5540,0,1,0,200
5550,0,1,0,200
5560,0,1,0,200
5570,0,1,0,200
5580,0,1,0,200
5590,0,1,0,200
5600,0,1,0,200
5610,0,1,0,200
5620,0,1,0,200
5630,0,1,0,200
5640,0,1,0,200
5650,0,1,0,200
5660,0,1,0,200
5670,0,1,0,200
5680,0,1,0,200
5690,0,1,0,200
5700,0,1,0,200
5710,0,1,0,200
5720,0,1,0,200
5730,0,1,0,200
5740,0,1,0,200
5750,0,1,0,200
5760,0,1,0,200
5770,0,1,0,200
5780,0,1,0,200
5790,0,1,0,200
5800,0,1,0,200
5810,0,1,0,200
5820,0,1,0,200
5830,0,0,0,200
5840,0,0,0,200
5850,0,0,0,200
5860,0,0,0,200
5870,0,1,0,200
5880,0,1,0,200
5890,0,1,0,200
5900,0,1,0,200
5910,0,1,0,200
5920,0,1,0,200
5930,0,1,0,200
5940,0,1,0,200
5950,0,1,0,200
5960,0,1,0,200
5970,0,1,0,200
5980,0,1,0,200
5990,0,1,0,200
6000,0,1,0,200
6010,0,1,0,200
6020,0,0,0,200
6030,0,1,0,200
6040,0,1,0,200
6050,0,1,0,200
6060,0,1,0,200
6070,0,1,0,200
6080,0,0,0,200
6090,0,1,0,200
6100,0,1,0,200
6110,0,1,0,200
6120,0,1,0,200
6130,0,1,0,200
6140,0,1,0,200
6150,0,1,0,200
6160,0,1,0,200
6170,0,1,0,200
6180,0,1,0,200
6190,0,1,0,200
6200,0,1,0,200
6210,0,1,0,200
6220,0,1,0,200
6230,0,1,0,200
6240,0,1,0,200
6250,0,1,0,200
6260,0,0,0,200
6270,0,0,0,200
6280,0,1,0,200
6290,0,0,0,200
6300,0,1,0,200
6310,0,1,0,200
6320,0,1,0,200
6330,0,1,0,200
6340,0,1,0,200
6350,0,1,0,200
6360,0,1,0,200
6370,0,1,0,200
6380,0,0,0,200
6390,0,1,0,200
6400,0,1,0,200
6410,0,1,0,200
6420,0,1,0,200
6430,0,1,0,200
6440,0,0,0,200
6450,0,0,0,200
6460,0,0,0,200
6470,0,1,0,200
6480,0,1,0,200
6490,0,1,0,200
6500,0,1,0,200
6510,0,1,0,200
6520,0,1,0,200
6530,0,1,0,200
6540,0,1,0,200
6550,0,1,0,200
6560,0,1,0,200
6570,0,1,0,200
6580,0,1,0,200
6590,0,1,0,200
6600,0,1,0,200
6610,0,1,0,200
6620,0,1,0,200
6630,0,1,0,200
6640,0,1,0,200
6650,0,0,0,200
6660,0,0,0,200
6670,0,1,0,200
6680,0,1,0,200
6690,0,1,0,200
6700,0,1,0,200
6710,0,1,0,200
6720,0,1,0,200
6730,0,1,0,200
6740,0,1,0,200
6750,0,1,0,200
6760,0,1,0,200
6770,0,1,0,200
6780,0,0,0,200
6790,0,0,0,200
6800,0,1,0,200
6810,0,1,0,200
6820,0,1,0,200
6830,0,1,0,200
6840,0,1,0,200
6850,0,1,0,200
6860,0,1,0,200
6870,0,1,0,200
6880,0,1,0,200
